l_ipn,r_asn,f,year,month,day,dayofweek,f_scaled
7,2152,6,2006,7,2,6,-0.01525003094090399
7,3561,1,2006,7,2,6,-0.016117355187611336
7,8070,2,2006,7,2,6,-0.015943890338269866
7,8075,2,2006,7,2,6,-0.015943890338269866
7,17184,2,2006,7,2,6,-0.015943890338269866
7,18924,48,2006,7,2,6,-0.007964507268562295
8,109,7,2006,7,2,6,-0.015076566091562521
8,3356,1,2006,7,2,6,-0.016117355187611336
8,3701,4,2006,7,2,6,-0.015596960639586929
8,8075,2,2006,7,2,6,-0.015943890338269866
8,13749,570,2006,7,2,6,0.08258414408768448
8,15169,105,2006,7,2,6,0.0019229891439014343
9,7132,2,2006,7,2,6,-0.015943890338269866
9,8070,3,2006,7,2,6,-0.015770425488928395
0,52,1,2006,7,3,0,-0.016117355187611336
0,209,1,2006,7,3,0,-0.016117355187611336
0,701,7,2006,7,3,0,-0.015076566091562521
0,2856,1,2006,7,3,0,-0.016117355187611336
0,3269,9,2006,7,3,0,-0.014729636392879584
0,3462,1,2006,7,3,0,-0.016117355187611336
0,3561,28,2006,7,3,0,-0.011433804255391674
0,3790,1,2006,7,3,0,-0.016117355187611336
0,4134,1,2006,7,3,0,-0.016117355187611336
0,4323,1,2006,7,3,0,-0.016117355187611336
0,4513,101,2006,7,3,0,0.0012291297465355587
0,4766,3,2006,7,3,0,-0.015770425488928395
0,4837,1,2006,7,3,0,-0.016117355187611336
0,5384,1,2006,7,3,0,-0.016117355187611336
0,5486,1,2006,7,3,0,-0.016117355187611336
0,6147,1,2006,7,3,0,-0.016117355187611336
0,6432,1,2006,7,3,0,-0.016117355187611336
0,6724,1,2006,7,3,0,-0.016117355187611336
0,7029,1,2006,7,3,0,-0.016117355187611336
0,8151,1,2006,7,3,0,-0.016117355187611336
0,8167,1,2006,7,3,0,-0.016117355187611336
0,9121,2,2006,7,3,0,-0.015943890338269866
0,9394,1,2006,7,3,0,-0.016117355187611336
0,9811,1,2006,7,3,0,-0.016117355187611336
0,12270,1,2006,7,3,0,-0.016117355187611336
0,12970,1,2006,7,3,0,-0.016117355187611336
0,13462,17,2006,7,3,0,-0.013341917598147832
0,13867,1,2006,7,3,0,-0.016117355187611336
0,16338,1,2006,7,3,0,-0.016117355187611336
0,18229,1,2006,7,3,0,-0.016117355187611336
0,19115,1,2006,7,3,0,-0.016117355187611336
0,19864,48,2006,7,3,0,-0.007964507268562295
0,26085,3,2006,7,3,0,-0.015770425488928395
0,26101,2,2006,7,3,0,-0.015943890338269866
0,31976,1,2006,7,3,0,-0.016117355187611336
0,33650,1,2006,7,3,0,-0.016117355187611336
0,33651,1,2006,7,3,0,-0.016117355187611336
0,36727,2,2006,7,3,0,-0.015943890338269866
1,3,5,2006,7,3,0,-0.015423495790245458
1,209,1,2006,7,3,0,-0.016117355187611336
1,680,2,2006,7,3,0,-0.015943890338269866
1,2711,1,2006,7,3,0,-0.016117355187611336
1,3265,1564,2006,7,3,0,0.2550082043331046
1,3269,30,2006,7,3,0,-0.011086874556708736
1,3320,1074,2006,7,3,0,0.17001042815578482
1,3462,1,2006,7,3,0,-0.016117355187611336
1,3561,1,2006,7,3,0,-0.016117355187611336
1,4134,7,2006,7,3,0,-0.015076566091562521
1,4230,1,2006,7,3,0,-0.016117355187611336
1,4513,101,2006,7,3,0,0.0012291297465355587
1,4766,3,2006,7,3,0,-0.015770425488928395
1,5617,1,2006,7,3,0,-0.016117355187611336
1,5668,2,2006,7,3,0,-0.015943890338269866
1,6388,1,2006,7,3,0,-0.016117355187611336
1,6461,6,2006,7,3,0,-0.01525003094090399
1,6478,1,2006,7,3,0,-0.016117355187611336
1,7015,1,2006,7,3,0,-0.016117355187611336
1,7132,5,2006,7,3,0,-0.015423495790245458
1,7303,1,2006,7,3,0,-0.016117355187611336
1,7718,1,2006,7,3,0,-0.016117355187611336
1,9271,2,2006,7,3,0,-0.015943890338269866
1,9394,1,2006,7,3,0,-0.016117355187611336
1,9808,1,2006,7,3,0,-0.016117355187611336
1,9908,1,2006,7,3,0,-0.016117355187611336
1,9929,2,2006,7,3,0,-0.015943890338269866
1,11427,1,2006,7,3,0,-0.016117355187611336
1,11456,1,2006,7,3,0,-0.016117355187611336
1,12271,1,2006,7,3,0,-0.016117355187611336
1,12302,190,2006,7,3,0,0.016667501337926292
1,12322,1,2006,7,3,0,-0.016117355187611336
1,13767,4,2006,7,3,0,-0.015596960639586929
1,14742,2,2006,7,3,0,-0.015943890338269866
1,14777,12,2006,7,3,0,-0.014209241844855176
1,14778,13,2006,7,3,0,-0.014035776995513708
1,14780,1,2006,7,3,0,-0.016117355187611336
1,15169,5,2006,7,3,0,-0.015423495790245458
1,17974,2,2006,7,3,0,-0.015943890338269866
1,18229,1,2006,7,3,0,-0.016117355187611336
1,19318,2,2006,7,3,0,-0.015943890338269866
1,19429,2,2006,7,3,0,-0.015943890338269866
1,20676,2,2006,7,3,0,-0.015943890338269866
1,22773,1,2006,7,3,0,-0.016117355187611336
1,32244,1,2006,7,3,0,-0.016117355187611336
1,33287,2,2006,7,3,0,-0.015943890338269866
1,33651,1,2006,7,3,0,-0.016117355187611336
1,33668,1,2006,7,3,0,-0.016117355187611336
2,1312,103,2006,7,3,0,0.0015760594452184965
2,2637,1,2006,7,3,0,-0.016117355187611336
2,3269,3,2006,7,3,0,-0.015770425488928395
2,3561,4,2006,7,3,0,-0.015596960639586929
2,3701,1,2006,7,3,0,-0.016117355187611336
2,4323,8,2006,7,3,0,-0.014903101242221052
